Round;Day;Date;Time;Team1;Score;Team2;Attendance;Venue;Referee;Unnamed: 10;Unnamed: 11
Round of 16;Sat;45318;17:00 (12:00);Angola;3–0;Namibie;28,663;Stade de la Paix (Neutral Site);Dahane Beida;;
Round of 16;Sat;45318;20:00 (15:00);Nigéria;2–0;Cameroun;22,085;Stade Félix Houphouët-Boigny (Neutral Site);Redouane Jiyed;;
Round of 16;Sun;45319;17:00 (12:00);Guinée Equ.;0–1;Guinée;36,34;Stade Olympique Alassane Ouattara d'Ebim... (Neutral Site);Cumar Cabdiqaadir Cartan;;
Round of 16;Sun;45319;20:00 (15:00);Égypte;(7) 1–1 (8);RD Congo;12,342;Stade Laurent Pokou (Neutral Site);Abongile Tom;;
Round of 16;Mon;45320;17:00 (12:00);Cap Vert;1–0;Mauritanie;16,088;Stade Félix Houphouët-Boigny (Neutral Site);Mohamed Adel;;
Round of 16;Mon;45320;20:00 (15:00);Sénégal;(4) 1–1 (5);Côte d'Ivoire;19,948;Stade Charles Konan Banny de Yamoussoukr... (Neutral Site);Pierre Ghislain Atcho;;
Round of 16;Tue;45321;17:00 (12:00);Mali;2–1;Burkina Faso;19,184;Stade Amadou Gon Coulibaly (Neutral Site);Mutaz Ibrahim;;
Round of 16;Tue;45321;20:00 (15:00);Maroc;0–2;Afrique du Sud;19,078;Stade Laurent Pokou (Neutral Site);Mahmood Ali Mahmood Ismail;;
Quarter-finals;Fri;45324;17:00 (12:00);Nigéria;1–0;Angola;18,757;Stade Félix Houphouët-Boigny (Neutral Site);Issa Sy;;
Quarter-finals;Fri;45324;20:00 (15:00);RD Congo;3–1;Guinée;33,278;Stade Olympique Alassane Ouattara d'Ebim... (Neutral Site);Mustapha Ghorbal;;
Quarter-finals;Sat;45325;17:00 (12:00);Mali;1–2;Côte d'Ivoire;39,836;Stade de la Paix (Neutral Site);Mohamed Adel;;
Quarter-finals;Sat;45325;20:00 (15:00);Cap Vert;(1) 0–0 (2);Afrique du Sud;12,162;Stade Charles Konan Banny de Yamoussoukr... (Neutral Site);Jean-Jacques Ndala;;
Semi-finals;Wed;45329;17:00 (12:00);Nigéria;(4) 1–1 (2);Afrique du Sud;31,227;Stade de la Paix (Neutral Site);Amin Omar;;
Semi-finals;Wed;45329;20:00 (15:00);Côte d'Ivoire;1–0;RD Congo;51,02;Stade Olympique Alassane Ouattara d'Ebim... (Neutral Site);Mutaz Ibrahim;;
Third-place match;Sat;45332;20:00 (15:00);Afrique du Sud;(6) 0–0 (5);RD Congo;21,975;Stade Félix Houphouët-Boigny (Neutral Site);Bamlak Tessema;;
Final;Sun;45333;20:00 (15:00);Nigéria;1–2;Côte d'Ivoire;57,094;Stade Olympique Alassane Ouattara d'Ebim... (Neutral Site);Dahane Beida;;
